species_code,main_bird_id,sub_bird_id,order,family,genus,species_name,scientific_name,note
67,0,,キジ目,キジ科,エゾライチョウ属,エゾライチョウ,Tetrastes bonasia,
295,1,,アビ目,アビ科,アビ属,アビ,Gavia stellata,
295,1,1,アビ目,アビ科,アビ属,(亜種)アビ,,
296,2,,アビ目,アビ科,アビ属,オオハム,Gavia arctica,
296,2,1,アビ目,アビ科,アビ属,(亜種)オオハム,,
297,3,,アビ目,アビ科,アビ属,シロエリオオハム,Gavia pacifica,
299,4,,アビ目,アビ科,アビ属,ハシジロアビ,Gavia adamsii,
129,5,,カイツブリ目,カイツブリ科,カイツブリ属,カイツブリ,Tachybaptus ruficollis,
129,5,1,カイツブリ目,カイツブリ科,カイツブリ属,(亜種)カイツブリ,,
129,5,2,カイツブリ目,カイツブリ科,カイツブリ属,(亜種)ダイトウカイツブリ,,
133,6,,カイツブリ目,カイツブリ科,カンムリカイツブリ属,ハジロカイツブリ,Podiceps nigricollis,
133,6,1,カイツブリ目,カイツブリ科,カンムリカイツブリ属,(亜種)ハジロカイツブリ,,
132,7,,カイツブリ目,カイツブリ科,カンムリカイツブリ属,ミミカイツブリ,Podiceps auritus,
132,7,1,カイツブリ目,カイツブリ科,カンムリカイツブリ属,(亜種)ミミカイツブリ,,第8版にない
130,8,,カイツブリ目,カイツブリ科,カンムリカイツブリ属,アカエリカイツブリ,Podiceps grisegena,
130,8,1,カイツブリ目,カイツブリ科,カンムリカイツブリ属,(亜種)アカエリカイツブリ,,
131,9,,カイツブリ目,カイツブリ科,カンムリカイツブリ属,カンムリカイツブリ,Podiceps cristatus,
131,9,1,カイツブリ目,カイツブリ科,カンムリカイツブリ属,(亜種)カンムリカイツブリ,,
303,10,,ミズナギドリ目,アホウドリ科,アホウドリ属,アホウドリ,Phoebastria albatrus,
301,11,,ミズナギドリ目,アホウドリ科,アホウドリ属,コアホウドリ,Phoebastria immutabilis,
302,12,,ミズナギドリ目,アホウドリ科,アホウドリ属,クロアシアホウドリ,Phoebastria nigripes,
312,13,,ミズナギドリ目,ミズナギドリ科,フルマカモメ属,フルマカモメ,Fulmarus glacialis,
312,13,1,ミズナギドリ目,ミズナギドリ科,フルマカモメ属,(亜種)フルマカモメ,,
314,14,,ミズナギドリ目,ミズナギドリ科,シロハラミズナギドリ属,ハジロミズナギドリ,Pterodroma solandri,第8版にない
317,15,,ミズナギドリ目,ミズナギドリ科,シロハラミズナギドリ属,カワリシロハラミズナギドリ,Pterodroma neglecta,
319,16,,ミズナギドリ目,ミズナギドリ科,シロハラミズナギドリ属,マダラシロハラミズナギドリ,Pterodroma inexpectata,
315,17,,ミズナギドリ目,ミズナギドリ科,シロハラミズナギドリ属,オオシロハラミズナギドリ,Pterodroma externa,
315,17,1,ミズナギドリ目,ミズナギドリ科,シロハラミズナギドリ属,(亜種)クビワオオシロハラミズナギドリ,,
315,17,2,ミズナギドリ目,ミズナギドリ科,シロハラミズナギドリ属,(亜種)オオシロハラミズナギドリ,,
318,18,,ミズナギドリ目,ミズナギドリ科,シロハラミズナギドリ属,ハワイシロハラミズナギドリ,Pterodroma sandwichensis,
318,18,1,ミズナギドリ目,ミズナギドリ科,シロハラミズナギドリ属,(亜種)ハワイシロハラミズナギドリ,,
322,19,,ミズナギドリ目,ミズナギドリ科,シロハラミズナギドリ属,シロハラミズナギドリ,Pterodroma hypoleuca,
321,20,,ミズナギドリ目,ミズナギドリ科,シロハラミズナギドリ属,ハグロシロハラミズナギドリ,Pterodroma nigripennis,
323,21,,ミズナギドリ目,ミズナギドリ科,シロハラミズナギドリ属,ヒメシロハラミズナギドリ,Pterodroma longirostris,
337,22,,ミズナギドリ目,ミズナギドリ科,アナドリ属,アナドリ,Bulweria bulwerii,
324,23,,ミズナギドリ目,ミズナギドリ科,オオミズナギドリ属,オオミズナギドリ,Calonectris leucomelas,
325,24,,ミズナギドリ目,ミズナギドリ科,ハシボソミズナギドリ属,オナガミズナギドリ,Ardenna pacifica,
325,24,1,ミズナギドリ目,ミズナギドリ科,ハシボソミズナギドリ属,(亜種)オナガミズナギドリ,,
326,25,,ミズナギドリ目,ミズナギドリ科,ハシボソミズナギドリ属,ミナミオナガミズナギドリ,Ardenna bulleri,
330,26,,ミズナギドリ目,ミズナギドリ科,ハシボソミズナギドリ属,アカアシミズナギドリ,Ardenna carneipes,
327,27,,ミズナギドリ目,ミズナギドリ科,ハシボソミズナギドリ属,ハイイロミズナギドリ,Ardenna grisea,
328,28,,ミズナギドリ目,ミズナギドリ科,ハシボソミズナギドリ属,ハシボソミズナギドリ,Ardenna tenuirostris,
331,29,,ミズナギドリ目,ミズナギドリ科,マンクスミズナギドリ属,コミズナギドリ,Puffinus nativitatis,
334,30,,ミズナギドリ目,ミズナギドリ科,マンクスミズナギドリ属,オガサワラミズナギドリ,Puffinus bannermani,
334,30,1,ミズナギドリ目,ミズナギドリ科,マンクスミズナギドリ属,(亜種)セグロミズナギドリ,,
300,31,,ミズナギドリ目,アシナガウミツバメ科,アシナガウミツバメ属,アシナガウミツバメ,Oceanites oceanicus,
300,31,1,ミズナギドリ目,アシナガウミツバメ科,アシナガウミツバメ属,(亜種)アシナガウミツバメ,,
305,32,,ミズナギドリ目,ウミツバメ科,オーストンウミツバメ属,ハイイロウミツバメ,Hydrobates furcatus,
305,32,1,ミズナギドリ目,ウミツバメ科,オーストンウミツバメ属,(亜種)ハイイロウミツバメ,,
308,33,,ミズナギドリ目,ウミツバメ科,オーストンウミツバメ属,コシジロウミツバメ,Hydrobates leucorhous,第8版にない
308,33,1,ミズナギドリ目,ウミツバメ科,オーストンウミツバメ属,(亜種)コシジロウミツバメ,,
306,34,,ミズナギドリ目,ウミツバメ科,オーストンウミツバメ属,ヒメクロウミツバメ,Hydrobates monorhis,
