no.,1次メッシュ
1,3036
2,3622
3,3623
4,3624
5,3631
6,3641
7,3653
8,3724
9,3725
10,3741
11,3823
12,3824
13,3831
14,3841
15,3926
16,3927
17,3928
18,3942
19,4027
20,4028
21,4040
22,4042
23,4128
24,4129
25,4142
26,4229
27,4230
28,4328
29,4329
30,4429
31,4440
32,4529
33,4530
34,4531
35,4540
36,4629
37,4630
38,4631
39,4728
40,4729
41,4730
42,4731
43,4739
44,4740
45,4828
46,4829
47,4830
48,4831
49,4839
50,4928
51,4929
52,4930
53,4931
54,4932
55,4933
56,4934
57,4939
58,5029
59,5030
60,5031
61,5032
62,5033
63,5034
64,5035
65,5036
66,5038
67,5039
68,5129
69,5130
70,5131
71,5132
72,5133
73,5134
74,5135
75,5136
76,5137
77,5138
78,5139
79,5229
80,5231
81,5232
82,5233
83,5234
84,5235
85,5236
86,5237
87,5238
88,5239
89,5240
90,5332
91,5333
92,5334
93,5335
94,5336
95,5337
96,5338
97,5339
98,5340
99,5432
100,5433
101,5435
102,5436
103,5437
104,5438
105,5439
106,5440
107,5536
108,5537
109,5538
110,5539
111,5540
112,5541
113,5636
114,5637
115,5638
116,5639
117,5640
118,5641
119,5738
120,5739
121,5740
122,5741
123,5839
124,5840
125,5841
126,5939
127,5940
128,5941
129,5942
130,6039
131,6040
132,6041
133,6139
134,6140
135,6141
136,6239
137,6240
138,6241
139,6243
140,6339
141,6340
142,6341
143,6342
144,6343
145,6439
146,6440
147,6441
148,6442
149,6443
150,6444
151,6445
152,6540
153,6541
154,6542
155,6543
156,6544
157,6545
158,6641
159,6642
160,6643
161,6644
162,6645
163,6740
164,6741
165,6742
166,6840
167,6841
168,6842
